"Figure 2. Temperatures Worldwide, 1901-2014",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climatechange/indicators,,,
"Data source: NOAA, 2015",,,
Web update: June 2015,,,
Units: °F,,,
,,,
Year,Earth's surface (land and ocean),Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.306,null,null
1902,-0.468,null,null
1903,-0.648,null,null
1904,-0.738,null,null
1905,-0.54,null,null
1906,-0.45,null,null
1907,-0.702,null,null
1908,-0.792,null,null
1909,-0.792,null,null
1910,-0.756,null,null
1911,-0.81,null,null
1912,-0.702,null,null
1913,-0.648,null,null
1914,-0.36,null,null
1915,-0.216,null,null
1916,-0.576,null,null
1917,-0.63,null,null
1918,-0.432,null,null
1919,-0.468,null,null
1920,-0.432,null,null
1921,-0.306,null,null
1922,-0.468,null,null
1923,-0.432,null,null
1924,-0.432,null,null
1925,-0.306,null,null
1926,-0.126,null,null
1927,-0.252,null,null
1928,-0.252,null,null
1929,-0.468,null,null
1930,-0.126,null,null
1931,-0.072,null,null
1932,-0.108,null,null
1933,-0.36,null,null
1934,-0.108,null,null
1935,-0.162,null,null
1936,-0.108,null,null
1937,0.09,null,null
1938,0.144,null,null
1939,0.126,null,null
1940,0.198,null,null
1941,0.288,null,null
1942,0.198,null,null
1943,0.198,null,null
1944,0.396,null,null
1945,0.162,null,null
1946,-0.072,null,null
1947,-0.09,null,null
1948,-0.108,null,null
1949,-0.126,null,null
1950,-0.288,null,null
1951,0,null,null
1952,0.072,null,null
1953,0.216,null,null
1954,-0.162,null,null
1955,-0.198,null,null
1956,-0.306,null,null
1957,0.126,null,null
1958,0.216,null,null
1959,0.144,null,null
1960,0.054,null,null
1961,0.198,null,null
1962,0.234,null,null
1963,0.27,null,null
1964,-0.216,null,null
1965,-0.09,null,null
1966,0.018,null,null
1967,0.036,null,null
1968,0.018,null,null
1969,0.216,null,null
1970,0.126,null,null
1971,-0.054,null,null
1972,0.108,null,null
1973,0.342,null,null
1974,-0.09,null,null
1975,0.036,null,null
1976,-0.126,null,null
1977,0.324,null,null
1978,0.18,null,null
1979,0.342,0.433041667,0.419795833
1980,0.414,0.727041667,0.617045833
1981,0.486,0.664041667,0.629195833
1982,0.288,0.290541667,0.279395833
1983,0.576,0.628041667,0.708095833
1984,0.234,0.104541667,0.186245833
1985,0.198,0.184041667,0.120845833
1986,0.36,0.298041667,0.338945833
1987,0.594,0.761541667,0.767795833
1988,0.63,0.761541667,0.709595833
1989,0.486,0.367041667,0.374645833
1990,0.738,0.697041667,0.723095833
1991,0.684,0.775041667,0.735245833
1992,0.432,0.221541667,0.267245833
1993,0.486,0.299541667,0.377795833
1994,0.594,0.544041667,0.640445833
1995,0.81,0.764541667,0.875495833
1996,0.576,0.604041667,0.673745833
1997,0.936,0.649041667,0.773195833
1998,1.152,1.495041667,1.579895833
1999,0.828,0.641541667,0.778145833
2000,0.774,0.634041667,0.756545833
2001,0.99,0.932541667,1.033895833
2002,1.098,1.135041667,1.156745833
2003,1.116,1.076541667,1.165145833
2004,1.044,0.937041667,0.951395833
2005,1.17,1.210041667,1.183895833
2006,1.08,1.076541667,1.006295833
2007,1.062,1.114041667,1.045595833
2008,0.918,0.724041667,0.668345833
2009,1.08,1.120041667,0.984695833
2010,1.188,1.459041667,1.433795833
2011,0.972,0.979041667,0.842345833
2012,1.044,1.049541667,0.922745833
2013,1.134,1.163541667,0.979595833
2014,1.242,1.234041667,1.049045833
