September Northern Hemisphere Sea Ice Extent (1979-2015)
Units: million square km
1981-2010 Mean: 6.51
Date,Value,Anomaly
1979,7.19,0.68
1980,7.83,1.32
1981,7.24,0.73
1982,7.44,0.93
1983,7.51,1.00
1984,7.10,0.59
1985,6.91,0.40
1986,7.53,1.02
1987,7.47,0.96
1988,7.48,0.97
1989,7.03,0.52
1990,6.23,-0.28
1991,6.54,0.03
1992,7.54,1.03
1993,6.50,-0.01
1994,7.18,0.67
1995,6.12,-0.39
1996,7.87,1.36
1997,6.73,0.22
1998,6.55,0.04
1999,6.23,-0.28
2000,6.31,-0.20
2001,6.74,0.23
2002,5.95,-0.56
2003,6.13,-0.38
2004,6.04,-0.47
2005,5.56,-0.95
2006,5.91,-0.60
2007,4.29,-2.22
2008,4.72,-1.79
2009,5.38,-1.13
2010,4.92,-1.59
2011,4.61,-1.90
2012,3.62,-2.89
2013,5.35,-1.16
2014,5.28,-1.23
2015,4.63,-1.88
